"","northCoast","taitStreet","feltonDiversions","newellInflow","newellUsed","date"
"1",52.3499999969044,166.299999982078,0,0,4.23606225949247,2009-01-01
"2",65.6299999910391,89.5799999990224,29.8399999986966,383.526559955588,13.6857396075911,2009-02-01
"3",124.2499999855,86.6899999946235,41.2799999973932,199.420777139184,0,2009-03-01
"4",92.409999986803,163.220000007495,0,0,0,2009-04-01
"5",87.570000010916,183.310000005377,0,0,0,2009-05-01
"6",73.6700000125453,213.910000002118,0,0,0,2009-06-01
"7",64.8099999900616,233.009999990713,0,0,0,2009-07-01
"8",56.2700000092868,229.669999996904,0,0,21.1803112974624,2009-08-01
"9",37.369999997882,224.409999993972,0,0,25.7422244999927,2009-09-01
"10",49.1500000001629,162.280000000652,0,123.17165646832,31.2816905316367,2009-10-01
"11",55.2699999995112,166,0,0,1.30340377215153,2009-11-01
"12",57.7799999983708,119.429999991691,0,41.3830697658111,35.5177527911292,2009-12-01
"13",67.6802675552318,101.650000015478,0,240.152145018919,42.3606225949247,2010-01-01
"14",103.030407509026,40.4599999964156,0,64.8443376645386,49.5293433417582,2010-02-01
"15",146.610580046123,58.9000000114048,0,15.9666962088562,34.2143490189777,2010-03-01
"16",145.920577314352,47.7199999993483,0,0,27.69733015822,2010-04-01
"17",137.740544929004,108.06000000945,0,18.5735037531593,32.5850943037883,2010-05-01
"18",113.990450900641,199.013000002591,0,0,12.0564848924017,2010-06-01
"19",96.3203809435395,220.280000000652,0,0,8.79797546202283,2010-07-01
"20",78.5603106301196,219.130000009613,0,0,9.77552829113648,2010-08-01
"21",64.8302562718283,188.103000016765,0,0,46.2708339113793,2010-09-01
"22",58.060229468796,152.689999997882,0,1.30340377215153,49.2034923987203,2010-10-01
"23",72.100285054405,79.199999993483,0,23.7871188417654,54.7429584303643,2010-11-01
"24",82.8403275750204,53.3399999938088,0,313.468607202443,64.5184867215008,2010-12-01
"25",123.870490412349,78.4003103925743,8.11368848164328,26.2961711031571,3.29109452468261,2011-01-01
"26",70.8402804618618,55.6042201411824,0,74.1310895411183,74.1310895411183,2011-02-01
"27",110.790438627466,30.7811218647172,0,77.3895989714971,65.3656991733992,2011-03-01
"28",148.72058879571,65.4942592965722,0,28.3816171385996,4.39898773101141,2011-04-01
"29",133.670529211421,128.169507432473,0,0,11.078932063288,2011-05-01
"30",112.240444368145,120.937478800341,0,0,15.8037707373373,2011-06-01
"31",113.270448446006,194.282769179721,0,0,0.782042263290918,2011-07-01
"32",96.9403837940836,198.99278782703,0,0,0.0325850943037883,2011-08-01
"33",70.7102799471802,201.185796509312,0,0,1.43374414936668,2011-09-01
"34",91.3703617419581,128.700509534749,0,1.30340377215153,30.3041377025231,2011-10-01
"35",78.6903115407101,117.194463981471,0,53.3417993753014,24.3410654449298,2011-11-01
"36",70.010277175818,146.880581510986,0,0,0.228095660126518,2011-12-01
"37",56.7102245199348,152.560603998611,30.0961191527413,115.905180438575,0,2012-01-01
"38",48.3201913031785,161.030637532095,11.2650445991371,10.0362090455668,0,2012-02-01
"39",47.9701899174973,100.510397928031,0,159.308526051221,63.3454233265644,2012-03-01
"40",36.4501443087925,129.110511157975,0,56.5025535227688,56.5025535227688,2012-04-01
"41",66.4302630022795,182.170721227235,0,0,19.1274503563237,2012-05-01
"42",59.2002343780663,220.200871791389,0,29.2614146848019,29.2614146848019,2012-06-01
"43",84.9703364037887,226.440896496104,0,0,17.6611211126532,2012-07-01
"44",80.9403204486603,224.900890399107,0,0,14.9565582854388,2012-08-01
"45",74.5502951500818,206.870819016733,0,0,12.7407718727812,2012-09-01
"46",71.5802833915876,170.050673243077,0,70.025367658841,40.0470808993558,2012-10-01
"47",56.0502219069361,112.810446624825,0,343.935670376485,74.0007491639031,2012-11-01
"48",27.3901084394466,90.0703565951424,0,82.2121929284578,92.2158168797208,2012-12-01
"61",10.0489685297488,150.529555062688,0,0,5.80002296271596,2013-01-01
"62",27.8059050335841,99.783920781309,0,35.3139321527974,38.5001524249249,2013-02-01
"63",8.80036019488412,121.821066199002,0,12.3006762268763,19.6000775981436,2013-03-01
"64",0,142.598814690949,0,3.90856766546371,0.900003563180062,2013-04-01
"65",15.0057746973018,164.40667568922,0,0,0.200000791817792,2013-05-01
"66",11.1452294489121,168.879545629031,0,0,8.80003483998283,2013-06-01
"67",10.6020787549604,139.408678120671,0,0,40.6001607390117,2013-07-01
"68",12.0513395839647,108.002623987873,0,0,59.0002335862485,2013-08-01
"69",15.144222689752,97.337256480431,0,0,45.100178554912,2013-09-01
"70",15.6180856353193,120.218297049927,0,0,41.4001639062829,2013-10-01
"71",17.3548608630591,102.28318790554,0,0,23.4000926426816,2013-11-01
"72",34.5872357763047,19.36397251896,38.1001508412893,180.374699968445,34.500136588569,2013-12-01
"73",31.3302936195529,119.35398440767,0.573497659746673,0,0.153149943227805,2014-01-01
"74",0,112.230248854197,18.6419324511973,107.429995423442,0,2014-02-01
"75",0,130.952325264073,9.46922840468087,60.3015016724852,0.290007339303716,2014-03-01
"76",0,144.936922289114,0.0358436037341671,0,4.71506314575816,2014-04-01
"77",14.3019366603399,148.277523234203,0,0,0.234612678987275,2014-05-01
"78",10.7004429116654,160.431518963961,0,0,0.980811338544027,2014-06-01
"79",9.30682125638479,95.3252196782254,53.0517920359977,0,1.23823358354395,2014-07-01
"80",11.8265024332686,61.4329847617284,1.17175999116423,0,92.8512262186446,2014-08-01
"81",12.5683709850376,41.7803777890184,0,0,99.5018439660478,2014-09-01
"82",13.3208364869023,58.7295642505189,0,0,107.322266598957,2014-10-01
